OPTION_SETTING	Open
OPTION_KEY_SETTING	Keyboard
KEYCHANGE_ACTION_WINDOW	Actions
KEYCHANGE_ATTACK	Attack
KEYCHANGE_AUTORUN	Autorun
KEYCHANGE_AUTO_WINDOW	Auto-Hunting
KEYCHANGE_BASEACTION	Standard Keys
KEYCHANGE_CAM_DOWN1	Camera (down)
KEYCHANGE_CAM_DOWN2	Camera (down)
KEYCHANGE_CAM_LEFT1	Camera (left)
KEYCHANGE_CAM_LEFT2	Camera (left)
KEYCHANGE_CAM_RIGHT1	Camera (right)
KEYCHANGE_CAM_RIGHT2	Camera (right)
KEYCHANGE_CAM_UP1	Camera (up)
KEYCHANGE_CAM_UP2	Camera (up)
KEYCHANGE_CAM_ZOOM_IN1	Camera (zoom in)
KEYCHANGE_CAM_ZOOM_IN2	Camera (zoom in)
KEYCHANGE_CAM_ZOOM_OUT1	Camera (zoom out)
KEYCHANGE_CAM_ZOOM_OUT2	Camera (zoom out)
KEYCHANGE_CANCLE	Cancel
KEYCHANGE_CHAT_WINDOW	Chat log
KEYCHANGE_CLEAR	Standard
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Backwards
KEYCHANGE_DOWN2	Backwards
KEYCHANGE_DRAGON_GATE	
KEYCHANGE_DSS1	DS [Sky]
KEYCHANGE_DSS2	DS [Earth]
KEYCHANGE_EMOTION1	Emotion (Sad)
KEYCHANGE_EMOTION2	Emotion (Yang)
KEYCHANGE_EMOTION3	Emotion (Music)
KEYCHANGE_EMOTION4	Emotion (Heart)
KEYCHANGE_EMOTION5	Emotion (Hearts)
KEYCHANGE_EMOTION6	Emotion (Bomb)
KEYCHANGE_EMOTION7	Emotion (Idea)
KEYCHANGE_EMOTION8	Emotion (Storm)
KEYCHANGE_EMOTION9	Emotion (Sorry)
KEYCHANGE_GUILD_WINDOW	Guild
KEYCHANGE_HELP_WINDOW	Help
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] are not allowed here!
KEYCHANGE_INGAMEEVENT	EVENT
KEYCHANGE_INTERFACE	Window
KEYCHANGE_INVENTORY_WINDOW	Inventory
KEYCHANGE_KEY_SETTING	Keyboard Settings
KEYCHANGE_LEFT1	Left
KEYCHANGE_LEFT2	Left
KEYCHANGE_MESSENGER_WINDOW	Friends
KEYCHANGE_MINIMAP_MINER	Minimap (-)
KEYCHANGE_MINIMAP_PLUS	Minimap (+)
KEYCHANGE_MINIMAP_WINDOW	Large map
KEYCHANGE_MONSTER_CARD_WINDOW	Monster Card
KEYCHANGE_NEXT_TARGET	Next target
KEYCHANGE_PARTY_MATCH_WINDOW	Group Search
KEYCHANGE_PASSIVE_ATTR1	Relic Bonus (Heaven)
KEYCHANGE_PASSIVE_ATTR2	Relic Bonus (Earth)
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Quest scrolls
KEYCHANGE_QUEST_WINDOW	Quests
KEYCHANGE_QUICKSLOT1	Level 1
KEYCHANGE_QUICKSLOT2	Level 2
KEYCHANGE_QUICKSLOT3	Level 3
KEYCHANGE_QUICKSLOT4	Level 4
KEYCHANGE_RIDE	Mount
KEYCHANGE_RIDE_BYE	Dismiss horse
KEYCHANGE_RIDE_HORSE	Mount
KEYCHANGE_RIDE_PEED	Feed horse
KEYCHANGE_RIGHT1	Right
KEYCHANGE_RIGHT2	Right
KEYCHANGE_ROOT1	Pick up
KEYCHANGE_ROOT2	Pick up
KEYCHANGE_SAVE	Save
KEYCHANGE_SCREENSHOT	Screenshot
KEYCHANGE_SHOW_NAME	Show names
KEYCHANGE_SKILL_WINDOW	Skills
KEYCHANGE_SLOT1	Slot 1
KEYCHANGE_SLOT2	Slot 2
KEYCHANGE_SLOT3	Slot 3
KEYCHANGE_SLOT4	Slot 4
KEYCHANGE_SLOT5	Slot 5
KEYCHANGE_SLOT6	Slot 6
KEYCHANGE_SLOT7	Slot 7
KEYCHANGE_SLOT8	Slot 8
KEYCHANGE_SLOT_KET	Quick Slots
KEYCHANGE_STATUS_WINDOW	Character
KEYCHANGE_UP1	Forwards
KEYCHANGE_UP2	Forwards
